1.041000000000000014e+01,7.346999999999999886e+01,8.201820182018201422e+01,8.315663132626525567e+01,8.317972350230414236e+01,8.318965517241379359e+01,8.332495222769787802e+01,8.326777609682299897e+01,8.314846850513890786e+01,8.292759051186017416e+01,8.261772096580357072e+01
9.539999999999999147e+00,6.954999999999999716e+01,7.412223667100128921e+01,7.359207762328698266e+01,7.365365365365364880e+01,7.376277299138449450e+01,7.351079859367152380e+01,7.343136267499245662e+01,7.322371092164027573e+01,7.315838413059199752e+01,7.317949276151082927e+01
9.359999999999999432e+00,6.152999999999999403e+01,7.873787378737874576e+01,8.295147573786893247e+01,8.357521769592632666e+01,8.325152759691475524e+01,8.321972734562950791e+01,8.351935646053293283e+01,8.324883390792943771e+01,8.371031334301723348e+01,8.315455341506130083e+01
1.000000000000000000e+01,2.521000000000000085e+01,8.043608721744348600e+01,8.342336934773909718e+01,8.362526273646281538e+01,8.381925658751627850e+01,8.350732784581408907e+01,8.360012080942314583e+01,8.336035670855289936e+01,8.377260981912144189e+01,8.331369818999678500e+01
1.058000000000000007e+01,2.963000000000000256e+01,7.351999999999999602e+01,7.369210763228967664e+01,7.314925970388155463e+01,7.331665832916458214e+01,7.318245543761265992e+01,7.328918322295805865e+01,7.320439206205298888e+01,7.367938931297709360e+01,7.344324267562743103e+01
9.969999999999998863e+00,7.192000000000000171e+01,8.267000000000000171e+01,8.381514454336300446e+01,8.385838583858385675e+01,8.367714800721009283e+01,8.366445916114790293e+01,8.399314999496323253e+01,8.392295995945261211e+01,8.397943444730077545e+01,8.419031363345423813e+01
1.019000000000000128e+01,7.165000000000000568e+01,7.947999999999998977e+01,8.162000000000000455e+01,8.154892935761456840e+01,8.193832599118942994e+01,8.189387100010031872e+01,8.172205438066465888e+01,8.143785540211210616e+01,8.151712718617406495e+01,8.107489370980050580e+01
1.025999999999999979e+01,2.246224622462246145e+01,8.244824482448245817e+01,8.212463739121737660e+01,8.178996896586244247e+01,8.146073036518258448e+01,8.190753184234279161e+01,8.200744242180428500e+01,8.179793480461631816e+01,8.169376414900185068e+01,8.130081300813007772e+01
1.008000000000000007e+01,6.780000000000001137e+01,7.110999999999999943e+01,7.071707170717071733e+01,7.138997298108675693e+01,7.134567283641820268e+01,7.157599438933974056e+01,7.127360385697066647e+01,7.107521453811206413e+01,7.149418248622167482e+01,7.184825108316601927e+01
9.910000000000000142e+00,2.765382691345672939e+01,8.297978787272363377e+01,8.389872911037727476e+01,8.404404404404404261e+01,8.366569796572802886e+01,8.377184173528820565e+01,8.421901784813955771e+01,8.398417689420834620e+01,8.395291201982651330e+01,8.359730961162942720e+01
